,title,feed_type,link,description,date,image,publisher,stocks,_id
3814,"Nifty settles near 8,300-mark; Reliance, HDFC Twins stocks outperform",news-article,https://www.indiainfoline.com/article/news-top-story/nifty-settles-near-8-300-mark-reliance-hdfc-twins-stocks-outperform-120032500180_1.html,"Heavy buying was seen in Reliance Industries, HDFC twins, Kotak Bank and ICICI Bank and it was the biggest factor lifting indices up today. However, losses were seen in IndusInd Bank, ONGC and ITC.",2020-03-25 18:02:43.713,https://pocket-image-cache.com/direct?url=http://content.indiainfoline.com/_media/iifl/img/article/2017-07/31/full/1501501109-5081.jpg,"{'logo': 'https://www.smallcase.com/images/newslogos/HuffingtonPost.png', 'id': 'www.indiainfoline.com', 'name': 'India Infoline'}","[{'sid': '.NSEI'}, {'sid': 'HDFC'}, {'sid': 'ICBK'}, {'sid': 'INBK'}, {'sid': 'ITC'}, {'sid': 'KTKM'}, {'sid': 'ONGC'}, {'sid': 'RELI'}]",5e7b4f6b6be4304ef8fdd820
3815,"D-Street Buzz: RIL, Maruti shares jump 6%; YES Bank at lower circuit, ITC top loser",news-article,https://www.moneycontrol.com/news/business/markets/d-street-buzz-ril-maruti-shares-jump-6-yes-bank-at-lower-circuit-itc-top-loser-5070681.html,"The top gainers include Maruti Suzuki and Reliance Industries which jumped over 6 percent each followed by Nestle India, Bharti Airtel and Tech Mahindra.",2020-03-25 13:01:53.684,https://pocket-image-cache.com/direct?url=http://static-news.moneycontrol.com/static-mcnews/2020/01/Sensex_BSE_NSE_Stock-market-1-770x433.png,"{'logo': 'https://www.smallcase.com/images/newslogos/Moneycontrol.png', 'id': 'www.moneycontrol.com', 'name': 'Moneycontrol'}","[{'sid': 'BRTI'}, {'sid': 'ITC'}, {'sid': 'MRTI'}, {'sid': 'NEST'}, {'sid': 'RELI'}, {'sid': 'TEML'}, {'sid': 'YESB'}]",5e7b08e9fde00269114eb9d0
3816,Shares of ITC tumble 5.38% in early trade,news-article,https://economictimes.indiatimes.com/markets/stocks/news/itc-ltd-shares-down-5-38-as-nifty-gains/articleshow/74803672.cms,The stock quoted a 52-week high of Rs 310.0 and a 52-week low of Rs 146.25.,2020-03-25 10:00:35.539,"https://pocket-image-cache.com/direct?url=http://img.etimg.com/thumb/msid-74803753,width-1070,height-580,imgsize-432548,overlay-etmarkets/photo.jpg","{'logo': 'https://www.smallcase.com/images/newslogos/TheEconomicTimes.png', 'id': 'economictimes.indiatimes.com', 'name': 'Economic Times'}",[{'sid': 'ITC'}],5e7ade6b721cb329145bdedf
3817,Coronavirus pandemic: FMCG companies reduce sanitiser prices by almost 65%,news-article,https://www.moneycontrol.com/news/business/coronavirus-pandemic-fmcg-companies-reduce-sanitiser-prices-by-almost-65-5062561.html,ITC has cut the price of a 55ml bottle of hand sanitiser from Rs 77 to Rs 27,2020-03-23 18:02:25.070,https://pocket-image-cache.com/direct?url=http://static-news.moneycontrol.com/static-mcnews/2020/03/sanitizers-distribution-covid-770x433.jpg,"{'logo': 'https://www.smallcase.com/images/newslogos/Moneycontrol.png', 'id': 'www.moneycontrol.com', 'name': 'Moneycontrol'}",[{'sid': 'ITC'}],5e78ac5903c3884bb3184102
3818,Coronavirus pandemic | ITC slashes price of Savlon sanitisers amid COVID-19 outbreak,news-article,https://www.moneycontrol.com/news/india/coronavirus-pandemic-itc-slashes-price-of-savlon-sanitisers-amid-covid-19-outbreak-5059201.html,ITC has already started manufacturing Savlon sanitisers with the new reduced prices.,2020-03-23 10:04:56.382,https://pocket-image-cache.com/direct?url=http://static-news.moneycontrol.com/static-mcnews/2020/03/hand-sanitizer-in-mall-covid-770x433.jpg,"{'logo': 'https://www.smallcase.com/images/newslogos/Moneycontrol.png', 'id': 'www.moneycontrol.com', 'name': 'Moneycontrol'}",[{'sid': 'ITC'}],5e783c707f585526be697c98
3819,"Coronavirus outbreak: After HUL, ITC, Godrej cut price of sanitizer packs",news-article,https://www.business-standard.com/article/companies/coronavirus-outbreak-after-hul-itc-godrej-cut-price-of-sanitizer-packs-120032300084_1.html,"A 55-ml pack of ITC's Savlon, on the other hand, will now be available for Rs 27 versus Rs 77 earlier",2020-03-23 10:04:43.384,https://pocket-image-cache.com/direct?url=http://bsmedia.business-standard.com/_media/bs/img/article/2020-03/18/full/1584552214-0687.jpg,"{'logo': 'https://www.smallcase.com/images/newslogos/BusinessStandard.png', 'id': 'www.business-standard.com', 'name': 'Business Standard'}","[{'sid': 'HLL'}, {'sid': 'ITC'}]",5e783c637f585526be697c83
3820,"Philanthropy in the times of coronavirus: Godrej, ITC to sell hand sanitisers at Rs 25 only",news-article,https://www.freepressjournal.in/india/philanthropy-in-the-times-of-coronavirus-godrej-itc-to-sell-hand-sanitisers-at-rs-25-only,"Philanthropy in the times of coronavirus: Godrej, ITC to sell hand sanitisers at Rs 25 only",2020-03-23 10:01:19.504,https://pocket-image-cache.com/direct?url=http://gumlet.assettype.com/freepressjournal%2F2020-03%2Fb17255ad-c6e3-417c-b2e6-b35fc2fa0cd7%2F2303_20200323021605_oly_2020_tokyo_jpn_flame_afp_1q37e8.jpg?w=1200&auto=format%2Ccompress&ogImage=true,"{'logo': None, 'id': 'www.freepressjournal.in', 'name': 'Newswire'}",[{'sid': 'ITC'}],5e783b977f585526be697b4a
3821,"Hand sanitizer manufacturers like RB, HUL, ITC, Godrej Consumer, Himalaya and Dabur said they are not contemplating the price cap and stand with the nation amid a severe health crisis",news-article,https://www.businesstoday.in/top-story/covid-19-fmcg-firms-reduce-hand-sanitizer-prices-as-per-govts-order/story/398913.html,"Hand sanitizer manufacturers like RB, HUL, ITC, Godrej Consumer, Himalaya and Dabur said they are not contemplating the price cap and stand with the nation amid a severe health crisis",2020-03-22 23:03:37.918,https://pocket-image-cache.com/direct?url=http://akm-img-a-in.tosshub.com/sites/btmt/images/stories/hand_sanitizers_505_220320075838.jpg,"{'logo': 'https://www.smallcase.com/images/newslogos/BusinessToday.png', 'id': 'www.businesstoday.in', 'name': 'Business Today'}","[{'sid': 'DABU'}, {'sid': 'GOCP'}, {'sid': 'HLL'}, {'sid': 'ITC'}]",5e77a171dcd4836678fd0122
3822,FMCG makers reduce hand sanitiser prices amidst COVID-19 scare,news-article,https://economictimes.indiatimes.com/industry/cons-products/fmcg/fmcg-makers-reduce-hand-sanitiser-prices-amidst-covid-19-scare/articleshow/74760326.cms,"Hand sanitiser manufacturers like RB, HUL, ITC, Godrej Consumer, Himalaya and Dabur said they are not contemplating about the price cap and stand with the nation in the midst of a severe health crisis. ",2020-03-22 23:01:58.261,"https://pocket-image-cache.com/direct?url=http://img.etimg.com/thumb/msid-74760426,width-1070,height-580,imgsize-767045,overlay-economictimes/photo.jpg","{'logo': 'https://www.smallcase.com/images/newslogos/TheEconomicTimes.png', 'id': 'economictimes.indiatimes.com', 'name': 'Economic Times'}","[{'sid': 'DABU'}, {'sid': 'GOCP'}, {'sid': 'HLL'}, {'sid': 'ITC'}]",5e77a10edcd4836678fd0095
3823,Story in a chart | CCI Oscillator suggests buying opportunity in ITC,news-article,https://www.moneycontrol.com/news/business/markets/story-in-a-chart-cci-oscillator-suggests-buying-opportunity-in-itc-5058031.html,We recommend buying ITC Limited (ITC) around Rs 165-160 levels with a stop loss of Rs 145 for higher targets of Rs 199.,2020-03-21 23:01:05.868,https://pocket-image-cache.com/direct?url=http://static-news.moneycontrol.com/static-mcnews/2020/01/Sensex_BSE_NSE_Stock-market_bull_bear_Gold-4-770x433.png,"{'logo': 'https://www.smallcase.com/images/newslogos/Moneycontrol.png', 'id': 'www.moneycontrol.com', 'name': 'Moneycontrol'}",[{'sid': 'ITC'}],5e764f597d69e548f6cf2838
