Date,Symbol,Opening Price,Highest Price,Lowest Price,Closing Price,Volume of Trade,P/E Ratio,P/B Ratio
2019-12-19 00:00:00+05:30,TCS.NS,2022.029244054304,2074.6253339881573,2010.665881505073,2067.714599609375,6251505,,
2019-12-20 00:00:00+05:30,TCS.NS,2059.319266187648,2084.0867093653555,2048.4197160175104,2062.00927734375,5548338,,
2019-12-23 00:00:00+05:30,TCS.NS,2050.04278505199,2079.6802361301193,2050.04278505199,2070.172119140625,2247329,,
2019-12-24 00:00:00+05:30,TCS.NS,2076.9445337119223,2081.1652568212107,2051.1101844084424,2055.23828125,1805896,,
2019-12-26 00:00:00+05:30,TCS.NS,2055.9797661329926,2067.6678851430843,2036.3142397962104,2042.57568359375,1880367,,
2019-12-27 00:00:00+05:30,TCS.NS,2048.187155304753,2065.2552910109716,2018.5032834887425,2039.374755859375,2720261,,
2019-12-30 00:00:00+05:30,TCS.NS,2047.2601710818376,2063.9573541717664,2019.524385314916,2025.1827392578125,2288830,,
2019-12-31 00:00:00+05:30,TCS.NS,2030.5631216525533,2037.984092403225,2001.2966229605806,2005.239013671875,1909289,,
2020-01-01 00:00:00+05:30,TCS.NS,2011.0820173250181,2025.8310983585695,1998.0953253312218,2010.7110595703125,1354908,,
2020-01-02 00:00:00+05:30,TCS.NS,2022.1681797792924,2022.1681797792924,1993.643822376139,2001.482177734375,2380752,,
2020-01-03 00:00:00+05:30,TCS.NS,2007.3724004205967,2062.1020545910287,2007.3724004205967,2041.36962890625,4655761,,
2020-01-06 00:00:00+05:30,TCS.NS,2045.4051708729228,2064.838793755684,2029.5427544699633,2041.1844482421875,3023209,,
2020-01-07 00:00:00+05:30,TCS.NS,2041.2298863872059,2054.3556321511337,2025.7386619231122,2046.1927490234375,2429317,,
2020-01-08 00:00:00+05:30,TCS.NS,2045.4050931940055,2096.4242678541736,2042.668655483517,2092.01806640625,5197454,,
2020-01-09 00:00:00+05:30,TCS.NS,2085.987708294331,2088.9560501783435,2050.04239481066,2054.07763671875,3734173,,
2020-01-10 00:00:00+05:30,TCS.NS,2066.740018447724,2072.305745606919,2048.187594583741,2053.3359375,1915807,,
2020-01-13 00:00:00+05:30,TCS.NS,2057.3248921439995,2058.345139643052,2026.5741116414772,2031.8153076171875,2843893,,
2020-01-14 00:00:00+05:30,TCS.NS,2036.1285126813964,2068.40977539741,2036.1285126813964,2047.1671142578125,2948452,,
2020-01-15 00:00:00+05:30,TCS.NS,2052.8263666624202,2069.5235535580027,2035.3870372774606,2065.72021484375,2620681,,
2020-01-16 00:00:00+05:30,TCS.NS,2065.765899434123,2086.2199913305435,2054.680871852892,2076.75830078125,3117214,,
2020-01-17 00:00:00+05:30,TCS.NS,2078.567284167529,2090.4408812800525,2052.8257948734763,2058.484375,3281059,,
2020-01-20 00:00:00+05:30,TCS.NS,2036.0358607442706,2079.9123926654675,2000.1369624342149,2013.262939453125,5817599,,
