date,Pt_plus,Pt_minus,Dt
2021-01-01,0.8469120655378314,0.15308793446216867,0.6938241310756627
2021-01-02,0.9808051813225663,0.01919481867743366,0.9616103626451327
2021-01-03,0.8879175863371678,0.11208241366283209,0.7758351726743358
2021-01-04,0.9147570220530536,0.08524297794694632,0.8295140441061073
2021-01-05,0.8604005975197693,0.13959940248023062,0.7208011950395388
2021-01-06,0.7473732524121537,0.2526267475878464,0.49474650482430726
2021-01-07,0.7088817676737794,0.29111823232622064,0.4177635353475587
2021-01-08,0.8006618954833228,0.19933810451667722,0.6013237909666456
2021-01-09,0.967802296807736,0.032197703192263935,0.9356045936154721
2021-01-10,0.957441189886116,0.04255881011388404,0.9148823797722319
2021-01-11,0.7755391637731344,0.22446083622686572,0.5510783275462685
2021-01-12,0.832427184789798,0.16757281521020195,0.6648543695795961
2021-01-13,0.8301083722457211,0.16989162775427893,0.6602167444914422
2021-01-14,0.7949974039058693,0.2050025960941307,0.5899948078117386
2021-01-15,0.40516537114698,0.5948346288530201,-0.1896692577060401
2021-01-17,0.9710058946352396,0.02899410536476036,0.9420117892704792
2021-01-18,0.8178117133362387,0.18218828666376138,0.6356234266724773
2021-01-19,0.9683657664562508,0.03163423354374913,0.9367315329125017
2021-01-20,0.7224779998258078,0.2775220001741923,0.4449559996516155
2021-01-21,0.2347880691006695,0.7652119308993305,-0.5304238617986611
2021-01-22,0.6180644387351648,0.3819355612648352,0.23612887747032968
2021-01-23,0.5549367949126036,0.4450632050873964,0.10987358982520723
2021-01-24,0.964317930258328,0.035682069741672026,0.928635860516656
2021-01-25,0.8289070344047895,0.17109296559521045,0.657814068809579
2021-01-26,0.8079741426700441,0.19202585732995583,0.6159482853400883
2021-01-27,0.9717636554125327,0.028236344587467238,0.9435273108250656
2021-01-28,0.5302174703965294,0.4697825296034706,0.06043494079305876
2021-01-29,0.9422155703811619,0.05778442961883811,0.8844311407623238
2021-01-30,0.45210639168910194,0.5478936083108981,-0.09578721662179612
2021-01-31,0.9878768375673254,0.012123162432674682,0.9757536751346507
2021-02-01,0.7418479235517677,0.25815207644823235,0.4836958471035352
2021-02-02,0.9093120552026296,0.09068794479737034,0.8186241104052593
2021-02-03,0.6914769819489168,0.3085230180510832,0.38295396389783354
2021-02-04,0.8987505352589479,0.10124946474105212,0.7975010705178958
2021-02-05,0.7354236459664955,0.26457635403350455,0.4708472919329909
2021-02-07,0.9357752682213604,0.06422473177863963,0.8715505364427207
2021-02-08,0.9313956290362507,0.06860437096374927,0.8627912580725013
2021-02-09,0.8945405255544776,0.10545947444552242,0.7890810511089552
2021-02-10,0.8192561703808344,0.18074382961916555,0.638512340761669
2021-02-11,0.7827589408475104,0.2172410591524896,0.5655178816950208
2021-02-12,0.8800995794438939,0.11990042055610603,0.7601991588877879
2021-02-13,0.011975871896835954,0.9880241281031641,-0.9760482562063282
2021-02-14,0.9818796915551232,0.018120308444876797,0.9637593831102464
2021-02-15,0.7119121214617965,0.2880878785382035,0.423824242923593
2021-02-16,0.7180050441283896,0.2819949558716104,0.43601008825677917
2021-02-17,0.17304819136183702,0.826951808638163,-0.653903617276326
2021-02-18,0.4349158159536636,0.5650841840463364,-0.13016836809267285
2021-02-19,0.7240863358769501,0.2759136641230499,0.44817267175390024
2021-02-21,0.3680663841812418,0.6319336158187582,-0.2638672316375163
2021-02-22,0.2635464538580274,0.7364535461419726,-0.47290709228394523
2021-02-23,0.677054507457663,0.3229454925423369,0.3541090149153261
2021-02-24,0.33748767864651974,0.6625123213534803,-0.3250246427069605
2021-02-25,0.8985162289617582,0.10148377103824185,0.7970324579235163
2021-02-26,0.6569619470778753,0.3430380529221248,0.31392389415575045
2021-02-28,0.06307577557800516,0.9369242244219949,-0.8738484488439897
2021-03-01,0.9677073981288739,0.03229260187112618,0.9354147962577477
2021-03-02,0.7826129131229848,0.21738708687701522,0.5652258262459696
2021-03-03,0.8322453590512764,0.16775464094872372,0.6644907181025526
2021-03-04,0.9134339505417617,0.08656604945823823,0.8268679010835236
2021-03-05,0.4964727123641193,0.5035272876358807,-0.007054575271761454
2021-03-07,0.8425586604495484,0.15744133955045156,0.6851173208990968
2021-03-08,0.2849807714581377,0.7150192285418623,-0.43003845708372457
2021-03-09,0.840424922356848,0.15957507764315212,0.6808498447136958
2021-03-10,0.7982254864232461,0.2017745135767539,0.5964509728464923
2021-03-11,0.6425259530305847,0.35747404696941537,0.2850519060611693
2021-03-12,0.8776238199052301,0.1223761800947699,0.7552476398104602
2021-03-15,0.7954060618695848,0.2045939381304151,0.5908121237391698
2021-03-16,0.875374288757147,0.12462571124285297,0.750748577514294
2021-03-17,0.7942585811843325,0.20574141881566754,0.5885171623686649
2021-03-18,0.12511086128230103,0.874889138717699,-0.7497782774353979
2021-03-19,0.5544744441149982,0.44552555588500176,0.10894888822999649
2021-03-20,0.7608929592001247,0.23910704079987527,0.5217859184002493
2021-03-21,0.9784257122891867,0.02157428771081332,0.9568514245783734
2021-03-22,0.4753972938255971,0.5246027061744029,-0.04920541234880581
2021-03-23,0.8569190529343721,0.1430809470656279,0.7138381058687442
2021-03-24,0.6595581856845611,0.34044181431543885,0.31911637136912224
2021-03-25,0.7383297892608844,0.26167021073911556,0.476659578521769
2021-03-26,0.7870757654267726,0.21292423457322737,0.5741515308535453
2021-03-28,0.9146764103924676,0.08532358960753232,0.8293528207849353
2021-03-30,0.9150279677524812,0.08497203224751879,0.8300559355049625
2021-03-31,0.5310949826402938,0.4689050173597062,0.06218996528058759
