Date,Symbol,Opening Price,Highest Price,Lowest Price,Closing Price,Volume of Trade,P/E Ratio,P/B Ratio
2019-12-19 00:00:00+05:30,RELIANCE.BO,761.1671270464091,780.6470745522853,760.031212763789,775.8858642578125,2048960,,
2019-12-20 00:00:00+05:30,RELIANCE.BO,778.8102702663999,782.0005781085209,771.2938582580291,773.1065063476562,631716,,
2019-12-23 00:00:00+05:30,RELIANCE.BO,751.6446973775163,762.278898883822,751.6446973775163,759.378662109375,2548220,,
2019-12-24 00:00:00+05:30,RELIANCE.BO,759.3302661032628,759.9344820418189,745.7233113658879,747.2700805664062,465016,,
2019-12-26 00:00:00+05:30,RELIANCE.BO,747.2701661191364,750.82300344897,730.35211790267,732.7689819335938,1154366,,
2019-12-27 00:00:00+05:30,RELIANCE.BO,737.1435549306108,747.1977332492299,735.4275578071082,745.4334106445312,970920,,
2019-12-30 00:00:00+05:30,RELIANCE.BO,745.8441706246108,747.7776616696519,738.7386146362703,746.4241943359375,742878,,
2019-12-31 00:00:00+05:30,RELIANCE.BO,746.6658896955613,746.6658896955613,729.4578309888535,731.8746948242188,591412,,
2020-01-01 00:00:00+05:30,RELIANCE.BO,732.841400074683,738.3035356445454,727.6451431142816,729.747802734375,913648,,
2020-01-02 00:00:00+05:30,RELIANCE.BO,731.8264257683131,744.7808405267695,731.3430529639747,742.1464233398438,1452578,,
2020-01-03 00:00:00+05:30,RELIANCE.BO,741.6871577674082,745.0224415361542,736.3700575291199,743.0647583007812,708174,,
2020-01-06 00:00:00+05:30,RELIANCE.BO,738.1103088805726,738.593681708916,723.8508104444384,725.7843017578125,906262,,
2020-01-07 00:00:00+05:30,RELIANCE.BO,734.7266074931903,741.493826246417,732.043865028118,737.1676635742188,1008480,,
2020-01-08 00:00:00+05:30,RELIANCE.BO,728.9261406654487,741.7113268912474,728.9261406654487,731.8021850585938,540976,,
2020-01-09 00:00:00+05:30,RELIANCE.BO,743.0647516411811,749.1311031881354,740.4545270192318,748.23681640625,516028,,
2020-01-10 00:00:00+05:30,RELIANCE.BO,749.2277477021015,752.973886440612,744.4423457705248,748.115966796875,385348,,
